run,train_seed,seed,n_circle,n_square,n_cylinder,n_cone,n_triangle,satAgg,shape_unique,shape_coverage,left_irreflexive,left_asymmetric,left_right_inverse,left_transitive,below_above_inverse,below_transitive,between_rule,last_left,last_right,can_stack_rule,query_small_below_cylinder_left_square,query_green_cone_between,query_triangles_close_same_size,accuracy,precision,recall,f1,ltn_api_sat_check
1,2025,42,5,5,5,5,5,0.6050564050674438,0.9996111392974854,0.9952932000160217,0.9764961004257202,0.8782555460929871,0.8190359473228455,0.9685801863670349,0.8618090748786926,0.9685608148574829,0.5756258964538574,0.44744327664375305,0.4605318605899811,0.999548614025116,0.0899595245718956,0.18571048974990845,0.9469938278198242,0.80445,0.6729124977260323,0.6364418444597385,0.6541692457334867,0.9394456744194031
2,2025,43,5,5,5,5,5,0.5889646410942078,0.999573290348053,0.9934504628181458,0.9073905348777771,0.9176855087280273,0.8038021922111511,0.9725769758224487,0.8549147844314575,0.9769479632377625,0.49996644258499146,0.43118977546691895,0.43000900745391846,0.998423159122467,0.03842894360423088,0.2033841609954834,0.9814980030059814,0.7184,0.500990099009901,0.6720382503984417,0.5740432612312811,0.9409136772155762
3,2025,44,5,5,5,5,5,0.5675996541976929,0.9996468424797058,0.993399977684021,0.9110769629478455,0.9269063472747803,0.8052730560302734,0.9776010513305664,0.8292617201805115,0.9834789633750916,0.541835367679596,0.4341563284397125,0.4415811598300934,0.9941519498825073,0.0623365081846714,0.00021227830438874662,0.948380708694458,0.7394,0.542310936182176,0.6635706914344686,0.5968440594059405,0.9422370791435242
4,2025,45,5,5,5,5,5,0.6113461256027222,0.9994410276412964,0.9962903261184692,0.9686613082885742,0.9290466904640198,0.8302419781684875,0.9766940474510193,0.8682002425193787,0.9808433651924133,0.6137754917144775,0.4267204999923706,0.43013450503349304,0.9415119886398315,0.07774090766906738,0.25633761286735535,0.944627046585083,0.80855,0.6546572934973638,0.6664877437824298,0.6605195496054616,0.9489080309867859
5,2025,46,5,5,5,5,5,0.5969289541244507,0.9994080066680908,0.9929073452949524,0.9229559898376465,0.9252710342407227,0.8254040479660034,0.9754119515419006,0.857764720916748,0.9699499011039734,0.5713183879852295,0.4317811131477356,0.4426310956478119,0.9898149371147156,0.06771507114171982,0.1715097427368164,0.9843322038650513,0.7719,0.570615192334398,0.7365119196988708,0.643035993740219,0.9472361207008362
